Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,positive regulation of podosome assembly (GO:0071803),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,CAPG
GO_Biological_Process_2021,L-methionine salvage (GO:0071267),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,MTAP
GO_Biological_Process_2021,serine transport (GO:0032329),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,SFXN1
GO_Biological_Process_2021,positive regulation of miRNA mediated inhibition of translation (GO:1905618),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,DDX6
GO_Biological_Process_2021,positive regulation of microtubule nucleation (GO:0090063),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,PAK1
GO_Biological_Process_2021,hyperosmotic response (GO:0006972),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,AQP1
GO_Biological_Process_2021,positive regulation of intracellular estrogen receptor signaling pathway (GO:0033148),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,PAK1
GO_Biological_Process_2021,positive regulation of integrin-mediated signaling pathway (GO:2001046),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,CD63
GO_Biological_Process_2021,hexose catabolic process (GO:0019320),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,PGM2
GO_Biological_Process_2021,positive regulation of humoral immune response (GO:0002922),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,PHB
GO_Biological_Process_2021,glycerol transport (GO:0015793),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,AQP1
GO_Biological_Process_2021,positive regulation of cytoplasmic translation (GO:2000767),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,DHX9
GO_Biological_Process_2021,G-quadruplex DNA unwinding (GO:0044806),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,DHX9
GO_Biological_Process_2021,positive regulation by symbiont of host autophagy (GO:0075044),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,PHB2
GO_Biological_Process_2021,polyamine biosynthetic process (GO:0006596),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,SMS
GO_Biological_Process_2021,anterograde axonal protein transport (GO:0099641),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,HSPB1
GO_Biological_Process_2021,regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PDK2
GO_Biological_Process_2021,regulation of acyl-CoA biosynthetic process (GO:0050812),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PDK2
GO_Biological_Process_2021,aromatic compound catabolic process (GO:0019439),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PON2
GO_Biological_Process_2021,axo-dendritic protein transport (GO:0099640),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,HSPB1
GO_Biological_Process_2021,negative regulation of microglial cell activation (GO:1903979),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,GRN
GO_Biological_Process_2021,negative regulation of mitochondrial fusion (GO:0010637),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,VAT1
GO_Biological_Process_2021,negative regulation of mitochondrial membrane potential (GO:0010917),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,HEBP2
GO_Biological_Process_2021,regulation of chemokine-mediated signaling pathway (GO:0070099),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PADI2
GO_Biological_Process_2021,regulation of interleukin-18 production (GO:0032661),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,DHX9
GO_Biological_Process_2021,regulation of metaphase/anaphase transition of cell cycle (GO:1902099),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,HECW2
GO_Biological_Process_2021,dendritic spine maintenance (GO:0097062),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,PICK1
GO_Biological_Process_2021,dynamin family protein polymerization involved in membrane fission (GO:0003373),1/8,0.1384347593491376,0.7034417422741066,0,0,7.618012422360248,15.063523454852836,DNM1L
